target,feature,importance
deck_cond_rating,r0,0.3868
deck_cond_rating,load_posting_status,0.0803
deck_cond_rating,horizon,0.0436
deck_cond_rating,span_continuity,0.0348
deck_cond_rating,wearing_surface,0.0345
deck_cond_rating,inventory_load_rating_factor,0.0339
deck_cond_rating,structure_kind,0.033
deck_cond_rating,operating_load_rating_factor,0.0309
deck_cond_rating,age_t0,0.0282
deck_cond_rating,txdot_district,0.0237
deck_cond_rating,design_load,0.0204
deck_cond_rating,num_spans_main,0.0199
deck_cond_rating,deck_width,0.0192
deck_cond_rating,deck_type,0.0191
deck_cond_rating,structure_type,0.0162
deck_cond_rating,adt_year,0.0155
deck_cond_rating,maintenance_resp,0.0139
deck_cond_rating,num_beam_lines,0.0137
deck_cond_rating,max_span_length,0.0133
deck_cond_rating,roadway_width,0.0122
deck_cond_rating,owner,0.0121
deck_cond_rating,structure_length,0.0117
deck_cond_rating,longitude,0.0114
deck_cond_rating,adt_truck,0.0108
deck_cond_rating,latitude,0.0101
deck_cond_rating,adt,0.0097
deck_cond_rating,approach_roadway_width,0.0095
deck_cond_rating,functional_class,0.0088
deck_cond_rating,deck_protection,0.0086
deck_cond_rating,skew_angle,0.0073
deck_cond_rating,scour_vulnerability,0.007
superstructure_cond_rating,r0,0.462
superstructure_cond_rating,structure_kind,0.0531
superstructure_cond_rating,load_posting_status,0.0436
superstructure_cond_rating,age_t0,0.043
superstructure_cond_rating,horizon,0.0357
superstructure_cond_rating,inventory_load_rating_factor,0.0339
superstructure_cond_rating,num_beam_lines,0.0305
superstructure_cond_rating,deck_width,0.0288
superstructure_cond_rating,maintenance_resp,0.0233
superstructure_cond_rating,span_continuity,0.0229
superstructure_cond_rating,operating_load_rating_factor,0.0197
superstructure_cond_rating,wearing_surface,0.0163
superstructure_cond_rating,num_spans_main,0.0156
superstructure_cond_rating,scour_vulnerability,0.013
superstructure_cond_rating,max_span_length,0.0122
superstructure_cond_rating,design_load,0.0117
superstructure_cond_rating,txdot_district,0.0112
superstructure_cond_rating,adt_year,0.0111
superstructure_cond_rating,adt,0.011
superstructure_cond_rating,deck_type,0.0109
superstructure_cond_rating,longitude,0.0103
superstructure_cond_rating,structure_type,0.0098
superstructure_cond_rating,owner,0.0092
superstructure_cond_rating,adt_truck,0.0085
superstructure_cond_rating,latitude,0.0084
superstructure_cond_rating,approach_roadway_width,0.0081
superstructure_cond_rating,structure_length,0.008
superstructure_cond_rating,roadway_width,0.0079
superstructure_cond_rating,deck_protection,0.0076
superstructure_cond_rating,functional_class,0.0067
superstructure_cond_rating,skew_angle,0.0058
substructure_cond_rating,r0,0.3679
substructure_cond_rating,load_posting_status,0.1024
substructure_cond_rating,inventory_load_rating_factor,0.0593
substructure_cond_rating,maintenance_resp,0.0468
substructure_cond_rating,span_continuity,0.041
substructure_cond_rating,horizon,0.0363
substructure_cond_rating,owner,0.0303
substructure_cond_rating,structure_kind,0.0264
substructure_cond_rating,deck_width,0.0201
substructure_cond_rating,age_t0,0.0197
substructure_cond_rating,num_beam_lines,0.0189
substructure_cond_rating,num_spans_main,0.0184
substructure_cond_rating,wearing_surface,0.0181
substructure_cond_rating,design_load,0.0168
substructure_cond_rating,max_span_length,0.0154
substructure_cond_rating,adt,0.0138
substructure_cond_rating,deck_type,0.0125
substructure_cond_rating,txdot_district,0.0118
substructure_cond_rating,operating_load_rating_factor,0.0118
substructure_cond_rating,structure_type,0.0111
substructure_cond_rating,scour_vulnerability,0.011
substructure_cond_rating,adt_year,0.0109
substructure_cond_rating,approach_roadway_width,0.0108
substructure_cond_rating,structure_length,0.0104
substructure_cond_rating,roadway_width,0.0101
substructure_cond_rating,latitude,0.0099
substructure_cond_rating,longitude,0.0097
substructure_cond_rating,adt_truck,0.0085
substructure_cond_rating,functional_class,0.0074
substructure_cond_rating,deck_protection,0.0069
substructure_cond_rating,skew_angle,0.0057
culvert_cond_rating,r0,0.4547
culvert_cond_rating,maintenance_resp,0.0785
culvert_cond_rating,load_posting_status,0.077
culvert_cond_rating,horizon,0.0331
culvert_cond_rating,age_t0,0.0323
culvert_cond_rating,num_beam_lines,0.0251
culvert_cond_rating,structure_kind,0.0217
culvert_cond_rating,owner,0.0199
culvert_cond_rating,txdot_district,0.0154
culvert_cond_rating,max_span_length,0.0139
culvert_cond_rating,scour_vulnerability,0.0132
culvert_cond_rating,structure_type,0.0125
culvert_cond_rating,inventory_load_rating_factor,0.0123
culvert_cond_rating,adt_truck,0.0122
culvert_cond_rating,operating_load_rating_factor,0.0121
culvert_cond_rating,num_spans_main,0.012
culvert_cond_rating,deck_type,0.0119
culvert_cond_rating,span_continuity,0.0116
culvert_cond_rating,structure_length,0.0114
culvert_cond_rating,design_load,0.0114
culvert_cond_rating,adt,0.0114
culvert_cond_rating,longitude,0.0108
culvert_cond_rating,wearing_surface,0.0106
culvert_cond_rating,approach_roadway_width,0.0106
culvert_cond_rating,deck_protection,0.0102
culvert_cond_rating,latitude,0.01
culvert_cond_rating,skew_angle,0.0094
culvert_cond_rating,deck_width,0.0093
culvert_cond_rating,functional_class,0.0091
culvert_cond_rating,adt_year,0.0084
culvert_cond_rating,roadway_width,0.0079
