r0,predicted,actual,horizon
8.0,7.3,7.0,10.707734428473648
7.0,6.9,7.0,11.838466803559205
8.0,7.8,8.0,9.141683778234086
7.0,7.0,7.0,11.865845311430528
7.0,6.6,7.0,9.820670773442847
6.0,6.4,6.0,8.205338809034908
7.0,6.6,7.0,9.91375770020534
8.0,7.1,7.0,11.980835044490075
7.0,6.7,6.0,11.90965092402464
7.0,6.7,7.0,9.878165639972622
7.0,6.9,7.0,10.042436687200547
7.0,7.0,7.0,9.96577686516085
5.0,5.3,5.0,8.019164955509925
7.0,6.7,7.0,11.80287474332649
7.0,6.7,7.0,9.774127310061601
7.0,6.8,7.0,8.021902806297057
7.0,6.9,7.0,11.797399041752225
8.0,7.1,7.0,11.93429158110883
7.0,6.8,7.0,8.008213552361397
7.0,6.8,7.0,9.900068446269678
8.0,7.1,6.0,8.095824777549623
8.0,7.2,7.0,9.94113620807666
8.0,7.3,7.0,10.023271731690622
6.0,6.3,7.0,8.668035592060233
6.0,6.1,6.0,9.987679671457906
7.0,6.8,7.0,11.92060232717317
8.0,7.2,7.0,8.010951403148528
7.0,6.8,6.0,9.943874058863791
9.0,7.0,7.0,10.349075975359343
8.0,6.9,6.0,9.546885694729637
7.0,6.4,6.0,9.817932922655714
7.0,7.2,7.0,8.145106091718
6.0,5.9,6.0,11.767282683093772
7.0,6.8,7.0,9.973990417522245
8.0,7.9,8.0,9.921971252566735
8.0,7.1,7.0,11.97262149212868
6.0,5.9,5.0,9.69472963723477
7.0,6.7,7.0,10.072553045859001
8.0,6.9,7.0,9.382614647501711
7.0,6.6,7.0,9.850787132101301
7.0,6.8,6.0,9.815195071868583
7.0,6.9,7.0,10.023271731690622
7.0,6.8,7.0,9.894592744695414
7.0,6.5,6.0,11.838466803559205
8.0,7.4,7.0,8.016427104722792
7.0,6.8,7.0,11.791923340177961
7.0,6.6,7.0,11.786447638603697
7.0,6.8,7.0,9.984941820670773
8.0,7.0,7.0,8.183436002737851
7.0,6.6,7.0,11.915126625598905
8.0,7.3,8.0,10.023271731690622
7.0,6.7,6.0,9.39356605065024
6.0,6.1,7.0,11.931553730321697
7.0,6.8,7.0,11.80287474332649
7.0,6.8,7.0,8.035592060232718
8.0,7.2,7.0,10.907597535934292
7.0,6.5,6.0,11.759069130732374
6.0,6.4,6.0,10.362765229295004
8.0,7.0,7.0,9.897330595482547
6.0,6.1,6.0,11.75085557837098
6.0,6.3,6.0,9.943874058863791
7.0,6.7,6.0,10.67214236824093
8.0,7.3,7.0,10.663928815879535
7.0,7.0,7.0,11.991786447638603
4.0,6.8,7.0,9.535934291581109
7.0,6.5,6.0,11.890485968514716
7.0,7.0,7.0,8.060232717316905
8.0,6.6,6.0,9.984941820670773
6.0,6.1,7.0,10.097193702943189
7.0,6.9,6.0,11.868583162217659
8.0,7.3,8.0,11.723477070499658
8.0,7.8,8.0,9.705681040383299
7.0,6.7,7.0,9.77138945927447
8.0,6.9,7.0,11.268993839835728
6.0,6.5,7.0,11.734428473648187
7.0,6.8,7.0,8.019164955509925
8.0,7.7,8.0,9.998631074606434
5.0,5.3,5.0,11.657768651608487
7.0,6.7,5.0,11.80287474332649
6.0,7.3,5.0,11.545516769336071
7.0,6.9,7.0,11.118412046543463
7.0,6.9,7.0,10.072553045859001
8.0,7.5,8.0,9.894592744695414
7.0,6.7,7.0,9.894592744695414
7.0,6.7,7.0,9.859000684462696
7.0,6.3,7.0,9.817932922655714
7.0,6.5,6.0,9.908281998631075
7.0,6.8,7.0,11.676933607118412
7.0,6.7,6.0,11.865845311430528
8.0,7.4,8.0,11.917864476386036
7.0,6.7,6.0,10.026009582477755
6.0,6.1,6.0,10.026009582477755
6.0,5.9,7.0,8.180698151950718
8.0,7.1,7.0,9.412731006160165
7.0,6.9,7.0,10.050650239561945
7.0,6.6,6.0,11.811088295687885
8.0,7.4,7.0,10.234086242299794
7.0,6.8,6.0,9.971252566735114
8.0,7.2,7.0,8.05201916495551
8.0,7.2,7.0,10.012320328542094
6.0,6.0,6.0,9.801505817932922
6.0,6.0,5.0,11.846680355920602
7.0,6.9,6.0,9.96577686516085
7.0,6.8,7.0,11.969883641341546
7.0,6.7,7.0,11.912388774811772
8.0,7.0,7.0,10.03422313483915
6.0,5.9,7.0,11.728952772073923
8.0,7.2,7.0,10.116358658453114
5.0,5.1,5.0,9.886379192334017
7.0,7.1,7.0,8.046543463381246
6.0,7.2,8.0,9.984941820670773
8.0,7.2,7.0,11.668720054757015
8.0,7.8,8.0,8.035592060232718
6.0,6.0,6.0,11.85763175906913
7.0,6.7,7.0,9.782340862422998
4.0,7.6,8.0,9.796030116358658
8.0,7.3,7.0,8.114989733059549
6.0,6.0,6.0,11.885010266940451
6.0,5.7,6.0,11.613963039014374
6.0,6.0,6.0,9.650924024640657
6.0,6.0,6.0,9.960301163586584
6.0,6.0,6.0,11.904175222450377
7.0,6.6,7.0,9.79876796714579
8.0,7.3,7.0,10.984257357973991
8.0,7.8,8.0,10.217659137577002
8.0,7.5,7.0,9.894592744695414
8.0,7.2,7.0,10.056125941136209
6.0,5.8,6.0,11.2580424366872
7.0,6.7,6.0,10.121834360027378
8.0,6.7,6.0,11.931553730321697
8.0,7.0,7.0,11.496235455167694
8.0,7.4,7.0,11.852156057494867
7.0,6.8,7.0,9.938398357289527
8.0,7.1,7.0,9.976728268309378
7.0,6.7,6.0,10.020533880903491
8.0,7.0,7.0,10.067077344284737
7.0,6.9,6.0,9.82340862422998
7.0,7.0,5.0,11.75359342915811
6.0,5.8,4.0,11.186858316221766
7.0,6.7,7.0,11.597535934291582
8.0,7.3,7.0,9.724845995893224
8.0,7.2,7.0,8.062970568104038
8.0,7.0,5.0,10.03422313483915
7.0,6.9,7.0,9.91375770020534
7.0,6.7,6.0,11.854893908282
8.0,7.0,7.0,11.822039698836413
8.0,7.2,8.0,11.419575633127995
6.0,6.3,6.0,11.854893908282
8.0,6.9,7.0,9.6290212183436
8.0,7.3,7.0,11.408624229979466
8.0,7.1,8.0,11.761806981519507
8.0,7.1,7.0,11.7782340862423
8.0,7.4,7.0,11.898699520876113
6.0,6.2,6.0,11.397672826830938
7.0,6.6,6.0,10.042436687200547
8.0,7.4,7.0,10.03422313483915
6.0,6.3,6.0,11.797399041752225
7.0,6.5,6.0,11.90965092402464
8.0,7.2,8.0,9.218343600273785
8.0,7.1,8.0,9.582477754962355
8.0,7.8,8.0,8.068446269678303
7.0,6.3,7.0,9.96577686516085
7.0,6.7,6.0,9.656399726214921
8.0,7.6,8.0,10.26694045174538
7.0,6.8,6.0,9.960301163586584
6.0,6.0,6.0,10.020533880903491
7.0,6.8,7.0,10.05886379192334
6.0,6.2,6.0,8.019164955509925
7.0,6.8,7.0,10.026009582477755
7.0,6.8,6.0,11.748117727583846
5.0,5.7,6.0,11.017111567419576
7.0,7.2,7.0,8.057494866529774
8.0,7.1,7.0,11.290896646132786
5.0,5.5,5.0,11.879534565366187
8.0,7.3,7.0,10.225872689938399
8.0,7.4,8.0,9.645448323066393
7.0,6.5,7.0,9.070499657768652
7.0,6.9,7.0,9.787816563997263
6.0,6.1,7.0,11.534565366187543
7.0,6.8,6.0,8.186173853524982
8.0,7.2,7.0,8.093086926762492
5.0,7.0,7.0,9.971252566735114
7.0,7.0,7.0,9.848049281314168
7.0,6.6,7.0,11.493497604380561
7.0,7.1,7.0,8.049281314168377
6.0,6.1,6.0,9.763175906913073
6.0,6.1,6.0,9.86447638603696
7.0,6.7,7.0,8.205338809034908
7.0,6.8,7.0,11.0362765229295
7.0,7.4,7.0,10.119096509240247
8.0,6.9,7.0,11.97535934291581
7.0,7.1,8.0,9.453798767967145
7.0,6.8,7.0,8.005475701574264
7.0,7.0,7.0,9.984941820670773
9.0,7.2,7.0,9.645448323066393
8.0,6.8,7.0,11.822039698836413
7.0,6.9,7.0,10.009582477754963
8.0,6.9,6.0,11.961670088980151
7.0,6.5,8.0,11.945242984257359
7.0,6.4,7.0,9.738535249828884
7.0,7.2,7.0,9.637234770704996
7.0,7.0,7.0,9.88911704312115
8.0,7.2,8.0,11.835728952772074
7.0,6.8,7.0,9.990417522245037
7.0,7.0,7.0,11.85763175906913
7.0,6.6,7.0,11.616700889801505
7.0,6.9,7.0,8.02464065708419
6.0,5.7,6.0,9.963039014373717
7.0,6.8,7.0,11.863107460643395
7.0,6.7,7.0,11.942505133470226
8.0,7.2,7.0,11.605749486652977
8.0,7.2,8.0,9.568788501026694
7.0,6.9,7.0,8.07939767282683
7.0,6.9,7.0,9.842573579739904
9.0,7.1,7.0,9.817932922655714
7.0,7.1,7.0,9.607118412046544
6.0,6.0,6.0,9.897330595482547
6.0,6.1,6.0,9.705681040383299
7.0,6.9,7.0,11.707049965776864
6.0,6.0,6.0,10.130047912388775
7.0,6.4,7.0,11.835728952772074
7.0,6.8,7.0,11.7782340862423
7.0,6.9,7.0,9.6290212183436
7.0,6.6,6.0,9.500342231348391
6.0,5.9,6.0,9.158110882956878
7.0,7.0,7.0,11.97535934291581
7.0,6.8,7.0,10.091718001368925
7.0,6.5,7.0,9.856262833675565
6.0,6.5,7.0,11.715263518138261
6.0,6.1,6.0,11.876796714579056
7.0,7.0,8.0,11.813826146475018
7.0,6.6,7.0,11.813826146475018
8.0,7.1,7.0,11.775496235455167
7.0,6.7,7.0,9.560574948665298
8.0,7.2,8.0,9.749486652977414
6.0,6.0,6.0,8.813141683778234
6.0,5.8,7.0,9.560574948665298
8.0,7.1,7.0,11.846680355920602
6.0,6.1,5.0,9.99315537303217
8.0,7.1,7.0,9.708418891170432
8.0,6.8,7.0,9.793292265571527
7.0,6.8,7.0,10.143737166324435
7.0,6.6,7.0,9.826146475017111
7.0,6.7,6.0,9.804243668720055
7.0,6.8,7.0,9.853524982888432
7.0,6.7,7.0,11.813826146475018
8.0,7.3,7.0,8.038329911019849
6.0,6.0,6.0,8.010951403148528
6.0,6.1,6.0,9.82340862422998
7.0,7.0,8.0,8.019164955509925
6.0,6.2,5.0,11.890485968514716
8.0,6.8,7.0,10.001368925393566
7.0,6.9,7.0,10.102669404517453
9.0,7.0,7.0,8.123203285420944
7.0,6.9,6.0,8.528405201916495
7.0,6.7,6.0,11.863107460643395
7.0,7.0,7.0,9.555099247091034
7.0,6.7,7.0,11.904175222450377
8.0,7.4,8.0,8.013689253935661
8.0,7.1,7.0,11.55920602327173
7.0,7.0,7.0,11.392197125256674
7.0,7.0,7.0,8.030116358658454
7.0,6.9,7.0,9.911019849418206
7.0,6.5,7.0,9.533196440793978
8.0,7.1,7.0,9.555099247091034
7.0,6.8,7.0,9.921971252566735
8.0,7.3,7.0,8.114989733059549
7.0,6.7,6.0,8.02737850787132
8.0,7.2,7.0,9.946611909650924
6.0,5.9,6.0,11.97535934291581
8.0,7.3,7.0,8.164271047227926
5.0,5.0,6.0,9.815195071868583
8.0,7.2,7.0,11.780971937029431
7.0,7.0,7.0,10.373716632443532
7.0,6.9,7.0,8.0766598220397
8.0,7.1,7.0,11.942505133470226
7.0,7.0,7.0,10.236824093086927
6.0,6.0,6.0,8.06570841889117
7.0,6.9,7.0,9.99315537303217
8.0,7.5,7.0,11.43874058863792
6.0,7.6,7.0,11.071868583162217
7.0,6.7,6.0,8.082135523613964
7.0,7.0,7.0,11.789185489390828
9.0,7.4,7.0,9.908281998631075
8.0,7.4,8.0,8.11772758384668
7.0,6.5,6.0,9.817932922655714
7.0,6.8,7.0,11.85763175906913
8.0,7.4,8.0,9.96577686516085
7.0,7.1,7.0,11.756331279945243
7.0,6.6,6.0,9.963039014373717
8.0,7.4,7.0,11.646817248459959
8.0,6.9,8.0,9.08145106091718
7.0,6.9,7.0,9.91649555099247
8.0,7.3,7.0,8.008213552361397
7.0,6.6,7.0,8.095824777549623
7.0,6.9,6.0,8.150581793292266
8.0,7.2,8.0,11.942505133470226
7.0,6.6,7.0,10.001368925393566
7.0,6.7,7.0,8.594113620807667
7.0,7.1,7.0,9.596167008898014
7.0,6.6,6.0,9.793292265571527
2.0,6.5,6.0,11.668720054757015
8.0,7.3,7.0,12.0
7.0,6.5,6.0,9.494866529774127
7.0,6.9,7.0,11.849418206707734
6.0,6.0,5.0,8.054757015742641
6.0,7.3,8.0,11.616700889801505
8.0,7.3,7.0,9.952087611225188
7.0,7.0,6.0,11.690622861054072
5.0,5.4,6.0,10.047912388774812
6.0,6.2,7.0,9.897330595482547
7.0,6.5,7.0,9.716632443531827
8.0,7.2,7.0,8.043805612594113
6.0,5.9,7.0,9.538672142368242
8.0,6.8,6.0,10.168377823408624
7.0,6.7,7.0,9.210130047912388
6.0,6.6,6.0,11.189596167008897
8.0,7.1,7.0,9.77138945927447
7.0,6.9,7.0,9.952087611225188
7.0,7.0,7.0,10.04517453798768
7.0,7.0,7.0,8.158795345653662
8.0,7.8,7.0,9.779603011635865
8.0,7.0,8.0,9.552361396303901
7.0,7.2,8.0,11.879534565366187
6.0,6.0,5.0,8.101300479123887
7.0,6.7,6.0,9.826146475017111
7.0,6.9,8.0,10.05886379192334
7.0,6.4,6.0,9.952087611225188
7.0,6.9,8.0,9.842573579739904
7.0,6.1,6.0,11.860369609856264
9.0,7.2,7.0,9.768651608487337
7.0,6.9,7.0,9.938398357289527
7.0,6.6,6.0,11.75085557837098
7.0,6.6,7.0,11.901437371663244
8.0,7.3,7.0,10.012320328542094
6.0,6.2,6.0,9.82340862422998
7.0,6.7,7.0,11.375770020533881
6.0,5.8,5.0,9.774127310061601
7.0,6.8,7.0,11.433264887063656
7.0,6.7,7.0,9.894592744695414
8.0,7.2,7.0,9.727583846680355
7.0,6.9,7.0,11.953456536618754
7.0,6.7,7.0,9.508555783709788
7.0,6.7,6.0,9.815195071868583
8.0,7.3,7.0,9.100616016427105
8.0,6.9,7.0,10.376454483230663
8.0,7.1,7.0,8.005475701574264
7.0,6.4,7.0,9.990417522245037
7.0,6.7,6.0,9.519507186858316
7.0,6.7,6.0,8.180698151950718
5.0,5.4,5.0,8.019164955509925
7.0,6.4,6.0,9.71937029431896
7.0,6.2,6.0,11.986310746064339
6.0,6.0,6.0,11.676933607118412
7.0,6.6,6.0,11.983572895277208
7.0,5.9,7.0,9.587953456536619
5.0,7.5,8.0,9.59069130732375
7.0,6.9,7.0,9.848049281314168
7.0,6.7,6.0,10.039698836413416
8.0,7.3,8.0,8.2217659137577
7.0,6.7,7.0,11.876796714579056
7.0,6.8,7.0,9.744010951403148
6.0,6.2,6.0,9.88911704312115
8.0,7.6,7.0,9.645448323066393
6.0,5.8,5.0,8.068446269678303
7.0,7.0,7.0,11.080082135523615
7.0,6.9,7.0,8.0766598220397
7.0,6.6,6.0,9.987679671457906
8.0,7.4,7.0,8.02737850787132
7.0,7.0,7.0,10.13826146475017
7.0,6.7,7.0,9.828884325804244
7.0,6.8,7.0,9.908281998631075
6.0,6.0,6.0,9.754962354551678
7.0,6.1,6.0,9.880903490759753
7.0,6.8,6.0,10.069815195071868
7.0,6.9,7.0,9.875427789185489
6.0,6.7,6.0,11.720739219712526
7.0,6.4,7.0,9.806981519507186
7.0,6.9,7.0,8.251882272416154
8.0,7.6,8.0,9.804243668720055
6.0,7.0,7.0,10.825462012320328
